Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
CLICK125I,white,2560.0,2592.655274888559,34900.0,CLICK125I
ZOOMER-X,white,2558.0,2592.655274888559,33900.0,ZOOMER-X
PCX150,black,2555.0,2592.655274888559,39900.0,PCX150
PCX150,red,2563.0,177.0,88900.0,PCX150
CLICK125I,black,2564.0,6221.0,48900.0,CLICK125I
ZOOMER-X,green,2560.0,2592.655274888559,36900.0,ZOOMER-X
ZOOMER-X,brown,2557.0,2592.655274888559,27500.0,ZOOMER-X
SCOOPY-I,pink,2563.0,2592.655274888559,41500.0,SCOOPY-I
SCOOPY-I,blue,2564.0,2592.655274888559,43900.0,SCOOPY-I
FORZA300,red,2562.0,2592.655274888559,125900.0,FORZA300
PCX150,blue,2559.0,2592.655274888559,54900.0,PCX150
PCX150,gray,2561.0,2592.655274888559,78900.0,PCX150
N-MAX155,black,2564.0,2592.655274888559,76900.0,N-MAX155
AEROX155,blue,2563.0,2592.655274888559,50900.0,AEROX155
PCX150,blue,2562.0,2592.655274888559,85500.0,PCX150
PCX150,gray,2564.0,2592.655274888559,81900.0,PCX150
PCX150,red,2562.0,2592.655274888559,82900.0,PCX150
Q-BIX125,black,2563.0,2592.655274888559,41500.0,Q-BIX125
N-MAX,gray,2564.0,2592.655274888559,81500.0,N-MAX
N-MAX,black,2564.0,155.0,78900.0,N-MAX
N-MAX,black,2564.0,79.0,79500.0,N-MAX
FORZA300,red,2561.0,2592.655274888559,119000.0,FORZA300
FINO125I,black,2563.0,2592.655274888559,33500.0,FINO125I
GRAND FILANO,black,2563.0,2592.655274888559,45500.0,GRAND FILANO HYBRID
FINO125I,green,2564.0,1226.0,38900.0,FINO125I
GRAND FILANO,green,2564.0,7516.0,49900.0,GRAND FILANO HYBRID
CLICK110I,pink,2554.0,2592.655274888559,20500.0,CLICK110I
GRAND FILANO,black,2564.0,7114.0,49000.0,GRAND FILANO HYBRID
WAVE125I,gray,2563.0,2592.655274888559,52900.0,WAVE125I
CLICK125I,white,2560.0,2592.655274888559,34900.0,CLICK125I
FINN115I,blue,2565.0,2592.655274888559,36900.0,FINN115I
ZOOMER-X,white,2558.0,2592.655274888559,33900.0,ZOOMER-X
WAVE125I,red,2565.0,3708.0,49500.0,WAVE125I
Q-BIX,gray,2561.0,2592.655274888559,33900.0,Q-BIX
ZOOMER-X,white,2558.0,2592.655274888559,23000.0,ZOOMER-X
GRAND FILANO,white,2563.0,2592.655274888559,49500.0,GRAND FILANO HYBRID ABS
ZOOMER-X,black,2561.0,2592.655274888559,36900.0,ZOOMER-X
GT125,red,2564.0,5486.0,35500.0,GT125
CLICK125I,black,2564.0,2592.655274888559,46900.0,CLICK125I
SCOOPY-I,white,2564.0,5650.0,44500.0,SCOOPY-I
ZOOMER-X,orange,2563.0,2592.655274888559,39500.0,ZOOMER-X
AEROX155,blue,2564.0,7361.0,54500.0,AEROX155
CLICK125I,black,2564.0,2592.655274888559,47500.0,CLICK125I
PCX150,black,2563.0,2592.655274888559,86500.0,PCX150
N-MAX,red,2563.0,2592.655274888559,56500.0,N-MAX
N-MAX155,red,2564.0,2592.655274888559,76900.0,N-MAX155
AEROX155,blue,2564.0,4970.0,69500.0,AEROX155
PCX150,gray,2563.0,2592.655274888559,82900.0,PCX150
N-MAX,gray,2564.0,2592.655274888559,78500.0,N-MAX
PCX150,gray,2563.0,2592.655274888559,86500.0,PCX150
AEROX155,black,2564.0,2592.655274888559,67500.0,AEROX155
FORZA300,white,2562.0,2592.655274888559,136900.0,FORZA300
SCOOPY-I,red,2564.0,6165.0,45900.0,SCOOPY-I
FINO125I,black,2563.0,2592.655274888559,35500.0,FINO125I
SCOOPY-I,red,2564.0,5778.0,45900.0,SCOOPY-I
N-MAX,blue,2564.0,2592.655274888559,76900.0,N-MAX
